name,sub_name,taste,price,category,sprite,internal_id,stock,label
Formula 1,Boisson Nutritionnelle,Parfum Vanille 1 boîte de 550g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/2789MentheChocolat.JPG,0141,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_0141/0141_label.pdf
Formula 1,Boisson Nutritionnelle,Parfum Chocolat 1 boîte de 550g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/2789MentheChocolat.JPG,0142,0,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_0142/0142_label.pdf
Formula 1,Boisson Nutritionnelle,Parfum Fraise 1 boîte de 550g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/2789MentheChocolat.JPG,0143,0,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_0142/0142_label.pdf
Formula 1,Boisson Nutritionnelle,Parfum Cookies & Cream 1 boîte de 550g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/2789MentheChocolat.JPG,0146,0,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_0143/0143_label.pdf
Formula 1 Nouvelle Génération,Boisson Nutritionnelle,Crème de Banane,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/4462_FR_FP_SZ_BananaCream_Square_400.jpg,4462,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_0146/0146_label.pdf
Formula 1 Nouvelle Génération,Boisson Nutritionnelle,Délice de Fraise,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/4462_FR_FP_SZ_BananaCream_Square_400.jpg,4463,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_4463/4463_label.pdf
Formula 1 Nouvelle Génération,Boisson Nutritionnelle,Pomme Epicée 550 g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/4462_FR_FP_SZ_BananaCream_Square_400.jpg,4464,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_4464/4464_label.pdf
Formula 1 Nouvelle Génération,Boisson Nutritionnelle,Café Latte 550 g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/4462_FR_FP_SZ_BananaCream_Square_400.jpg,4465,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_4465/4465_label.pdf
Formula 1 Nouvelle Génération,Boisson Nutritionnelle,Duo Menthe Choco 550 g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/4462_FR_FP_SZ_BananaCream_Square_400.jpg,4471,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_4471/4471_label.pdf
Formula 1 Nouvelle Génération,Boisson Nutritionnelle,Cookie Crunch 550 g,52,Nutrition interne,https://fr.myherbalife.com/Content/fr-FR/img/Catalog/Products/4462_FR_FP_SZ_BananaCream_Square_400.jpg,4467,1,https://edge.myherbalife.com/download/web/prodsku-label/locale_fr_fr/sku_4467/4467_label.pdf
